LAT,LONG,ALT
-12.42845459,136.7572865,15.12000164
-12.42854978,136.7571909,15.15258
-12.42864487,136.7570953,15.18510334
-12.42873988,136.7569999,15.21757188
-12.42883479,136.7569046,15.24998582
-12.42892962,136.7568093,15.2823454
-12.42902436,136.7567141,15.31465082
-12.42911901,136.756619,15.34690229
-12.42921357,136.756524,15.37910003
-12.42930805,136.7564291,15.41124423
-12.42940244,136.7563343,15.44333511
-12.42949674,136.7562395,15.47537287
-12.42959096,136.7561449,15.50735771
-12.4296851,136.7560503,15.53928984
-12.42977915,136.7559558,15.57116944
-12.42987312,136.7558614,15.60299673
-12.429967,136.755767,15.6347719
-12.4300608,136.7556728,15.66649513
-12.43015452,136.7555786,15.69816662
-12.43024816,136.7554845,15.72978657
-12.43034172,136.7553905,15.76135516
-12.4304352,136.7552966,15.79287259
-12.4305286,136.7552027,15.82433902
-12.43062191,136.7551089,15.85575466
-12.43071515,136.7550152,15.88711969
-12.43080831,136.7549216,15.91843428
-12.4309014,136.7548281,15.94969861
-12.4309944,136.7547346,15.98091287
-12.43108733,136.7546412,16.01207724
-12.43118018,136.7545479,16.04319188
-12.43127296,136.7544546,16.07425697
-12.43136565,136.7543615,16.10527269
-12.43145828,136.7542684,16.1362392
-12.43155083,136.7541753,16.16715668
-12.4316433,136.7540824,16.19802529
-12.43173571,136.7539895,16.22884521
-12.43182803,136.7538967,16.2596166
-12.43192029,136.753804,16.29033961
-12.43201247,136.7537113,16.32101443
-12.43210458,136.7536187,16.3516412
-12.43219662,136.7535262,16.38222009
-12.43228859,136.7534337,16.41275126
-12.43238048,136.7533413,16.44323486
-12.43247231,136.753249,16.47367106
-12.43256406,136.7531568,16.50406
-12.43265575,136.7530646,16.53440185
-12.43274737,136.7529725,16.56469675
-12.43283892,136.7528804,16.59494487
-12.4329304,136.7527885,16.62514633
-12.43302181,136.7526966,16.65530131
-12.43311315,136.7526047,16.68540994
-12.43320443,136.7525129,16.71547238
-12.43329564,136.7524212,16.74548876
-12.43338678,136.7523296,16.77545924
-12.43347786,136.752238,16.80538395
-12.43356888,136.7521465,16.83526304
-12.43365982,136.752055,16.86509665
-12.43375071,136.7519636,16.89488493
-12.43384152,136.7518723,16.924628
-12.43393228,136.751781,16.95432601
-12.43402297,136.7516898,16.9839791
-12.43411359,136.7515987,17.0135874
-12.43420416,136.7515076,17.04315104
-12.43429466,136.7514166,17.07267016
-12.4343851,136.7513256,17.1021449
-12.43447547,136.7512347,17.13157538
-12.43456579,136.7511439,17.16096173
-12.43465604,136.7510531,17.19030409
-12.43474623,136.7509624,17.21960258
-12.43483637,136.7508717,17.24885733
-12.43492644,136.7507811,17.27806846
-12.43501645,136.7506906,17.30723611
-12.4351064,136.7506001,17.3363604
-12.4351963,136.7505097,17.36544145
-12.43528613,136.7504193,17.39447938
-12.43537591,136.750329,17.42347432
-12.43546563,136.7502388,17.45242638
-12.43555529,136.7501486,17.48133569
-12.43564489,136.7500584,17.51020237
-12.43573444,136.7499683,17.53902653
-12.43582392,136.7498783,17.56780829
-12.43591336,136.7497883,17.59654777
-12.43600273,136.7496984,17.62524508
-12.43609205,136.7496086,17.65390035
-12.43618131,136.7495188,17.68251367
-12.43627052,136.749429,17.71108516
-12.43635968,136.7493393,17.73961495
-12.43644878,136.7492497,17.76810313
-12.43653782,136.7491601,17.79654982
-12.43662681,136.7490705,17.82495513
-12.43671575,136.748981,17.85331916
-12.43680463,136.7488916,17.88164203
-12.43689346,136.7488022,17.90992384
-12.43698224,136.7487129,17.93816469
-12.43707096,136.7486236,17.9663647
-12.43715963,136.7485344,17.99452397
-12.43724825,136.7484452,18.0226426
-12.43733682,136.748356,18.05072069
-12.43742533,136.748267,18.07875836
-12.4375138,136.7481779,18.10675569
-12.43760221,136.748089,18.13471279
-12.43769058,136.748,18.16262976
-12.43777889,136.7479111,18.1905067
-12.43786715,136.7478223,18.21834371
-12.43795536,136.7477335,18.24614088
-12.43804353,136.7476448,18.27389832
-12.43813164,136.7475561,18.30161612
-12.4382197,136.7474675,18.32929437
-12.43830772,136.7473789,18.35693318
-12.43839569,136.7472903,18.38453262
-12.43848361,136.7472018,18.41209281
-12.43857148,136.7471134,18.43961383
-12.4386593,136.747025,18.46709578
-12.43874707,136.7469366,18.49453874
-12.4388348,136.7468483,18.5219428
-12.43892248,136.74676,18.54930807
-12.43901012,136.7466718,18.57663462
